identificationID,datasetID,basisOfRecord,Location,decimalLatitude,decimalLongitude,eventDate,eventRemarks,samplingProtocol,sampleSizeValue,sampleSizeUnit,ScientificName,taxonID,nameAccordingToID,organismQuantity,occurrenceStatus,organismQuantityType
2004-09-29;a-k-01;b-k-01;t-k-106;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2004-09-29,kfm,rdfc -- FUL,2000,square meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
2010-07-29;a-k-01;b-k-01;t-k-152;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2010-07-29,kfm,rdfc -- FUL,2000,square meter,Leiocottus hirundo,281282,WORMS,0,absent,individual
2014-10-01;a-k-01;b-k-01;t-k-233;c-k-00001;3,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2014-10-01,kfm,visualfish -- BOT,300,cubic meter,Girella nigricans,280865,WORMS,0,absent,individual
1996-09-19;a-k-01;b-k-01;t-k-210;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1996-09-19,kfm,rdfc -- FUL,2000,square meter,Apogon guadalupensis,273016,WORMS,0,absent,individual
1996-09-19;a-k-01;b-k-01;t-k-190;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1996-09-19,kfm,rdfc -- FUL,2000,square meter,Ronquilus jordani,282629,WORMS,0,absent,individual
1999-09-15;a-k-01;b-k-01;t-k-169;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1999-09-15,kfm,rdfc -- FUL,2000,square meter,Lythrypnus zebra,281472,WORMS,0,absent,individual
2011-09-15;a-k-01;b-k-01;t-k-223;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2011-09-15,kfm,visualfish -- BOT,300,cubic meter,Oxyjulis californica,240727,WORMS,0,absent,individual
2008-09-09;a-k-01;b-k-01;t-k-232;c-k-00001;4,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2008-09-09,kfm,visualfish -- BOT,300,cubic meter,Hypsypops rubicundus,281130,WORMS,0,absent,individual
2008-09-09;a-k-01;b-k-01;t-k-231;c-k-00001;2,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2008-09-09,kfm,visualfish -- BOT,300,cubic meter,Rhacochilus vacca,282576,WORMS,0,absent,individual
1999-09-15;a-k-01;b-k-01;t-k-232;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1999-09-15,kfm,visualfish -- BOT,300,cubic meter,Hypsypops rubicundus,281130,WORMS,0,absent,individual
2003-09-09;a-k-01;b-k-01;t-k-234;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2003-09-09,kfm,visualfish -- BOT,300,cubic meter,Halichoeres semicinctus,275798,WORMS,0,absent,individual
2013-10-20;a-k-01;b-k-01;t-k-211;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2013-10-20,kfm,rdfc -- FUL,2000,square meter,Paralichthys californicus,275809,WORMS,0,absent,individual
2006-09-12;a-k-01;b-k-01;t-k-211;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2006-09-12,kfm,rdfc -- FUL,2000,square meter,Paralichthys californicus,275809,WORMS,0,absent,individual
1996-07-22;a-k-01;b-k-01;t-k-176;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1996-07-22,kfm,rdfc -- FUL,2000,square meter,Medialuna californiensis,281541,WORMS,0,absent,individual
2014-10-01;a-k-01;b-k-01;t-k-226;c-k-00001;2,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2014-10-01,kfm,visualfish -- BOT,300,cubic meter,Sebastes atrovirens,274772,WORMS,0,absent,individual
1998-09-15;a-k-01;b-k-01;t-k-227;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1998-09-15,kfm,visualfish -- BOT,300,cubic meter,Paralabrax clathratus,282054,WORMS,0,absent,individual
2013-10-20;a-k-01;b-k-01;t-k-194;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2013-10-20,kfm,rdfc -- FUL,2000,square meter,Hyperprosopon argenteum,281098,WORMS,0,absent,individual
1986-07-09;a-k-01;b-k-01;t-k-225;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1986-07-09,kfm,visualfish -- BOT,600,cubic meter,Sebastes serranoides,274852,WORMS,12,present,individual
2001-07-17;a-k-01;b-k-01;t-k-222;c-k-00001;3,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2001-07-17,kfm,visualfish -- BOT,300,cubic meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
2013-10-20;a-k-01;b-k-01;t-k-156;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2013-10-20,kfm,rdfc -- FUL,2000,square meter,Sebastes,126175,WORMS,0,absent,individual
2001-07-17;a-k-01;b-k-01;t-k-150;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2001-07-17,kfm,rdfc -- FUL,2000,square meter,Hexagrammos decagrammus,240732,WORMS,0,absent,individual
2010-07-29;a-k-01;b-k-01;t-k-218;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2010-07-29,kfm,rdfc -- FUL,2000,square meter,Cebidichthys violaceus,280053,WORMS,0,absent,individual
2005-08-09;a-k-01;b-k-01;t-k-228;c-k-00001;3,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2005-08-09,kfm,visualfish -- BOT,300,cubic meter,Semicossyphus pulcher,282753,WORMS,0,absent,individual
2008-09-09;a-k-01;b-k-01;t-k-174;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2008-09-09,kfm,rdfc -- FUL,2000,square meter,Pholidae,125550,WORMS,0,absent,individual
2004-07-28;a-k-01;b-k-01;t-k-222;c-k-00001;4,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2004-07-28,kfm,visualfish -- BOT,300,cubic meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
2000-08-30;a-k-01;b-k-01;t-k-222;c-k-00001;4,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2000-08-30,kfm,visualfish -- BOT,300,cubic meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
2006-09-12;a-k-01;b-k-01;t-k-104;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2006-09-12,kfm,rdfc -- FUL,2000,square meter,Aulorhynchus flavidus,279839,WORMS,325,present,individual
2006-09-12;a-k-01;b-k-01;t-k-128;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2006-09-12,kfm,rdfc -- FUL,2000,square meter,Alloclinus holderi,279560,WORMS,0,absent,individual
2004-07-28;a-k-01;b-k-01;t-k-187;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2004-07-28,kfm,rdfc -- FUL,2000,square meter,Heterodontus francisci,276694,WORMS,0,absent,individual
1999-09-15;a-k-01;b-k-01;t-k-154;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1999-09-15,kfm,rdfc -- FUL,2000,square meter,Artedius harringtoni,279701,WORMS,0,absent,individual
1997-09-24;a-k-01;b-k-01;t-k-222;c-k-00001;2,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1997-09-24,kfm,visualfish -- BOT,300,cubic meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
1991-07-23;a-k-01;b-k-01;t-k-223;c-k-00001;3,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1991-07-23,kfm,visualfish -- BOT,600,cubic meter,Oxyjulis californica,240727,WORMS,11,present,individual
1997-07-08;a-k-01;b-k-01;t-k-106;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1997-07-08,kfm,rdfc -- FUL,2000,square meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
1997-09-24;a-k-01;b-k-01;t-k-222;c-k-00001;4,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1997-09-24,kfm,visualfish -- BOT,300,cubic meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
2005-08-09;a-k-01;b-k-01;t-k-135;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2005-08-09,kfm,rdfc -- FUL,2000,square meter,Orthonopias triacis,281935,WORMS,1,present,individual
1986-07-09;a-k-01;b-k-01;t-k-222;c-k-00001;3,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1986-07-09,kfm,visualfish -- BOT,600,cubic meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
2011-09-15;a-k-01;b-k-01;t-k-231;c-k-00001;4,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2011-09-15,kfm,visualfish -- BOT,300,cubic meter,Rhacochilus vacca,282576,WORMS,0,absent,individual
2005-08-09;a-k-01;b-k-01;t-k-121;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2005-08-09,kfm,rdfc -- FUL,2000,square meter,Sebastes mystinus,274823,WORMS,12,present,individual
2000-08-30;a-k-01;b-k-01;t-k-135;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2000-08-30,kfm,rdfc -- FUL,2000,square meter,Orthonopias triacis,281935,WORMS,NA,NA,individual
2005-08-09;a-k-01;b-k-01;t-k-107;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2005-08-09,kfm,rdfc -- FUL,2000,square meter,Rhinogobiops nicholsii,282580,WORMS,7,present,individual
2008-09-09;a-k-01;b-k-01;t-k-123;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2008-09-09,kfm,rdfc -- FUL,2000,square meter,Semicossyphus pulcher,282753,WORMS,3,present,individual
2009-08-18;a-k-01;b-k-01;t-k-192;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2009-08-18,kfm,rdfc -- FUL,2000,square meter,Scomber japonicus,127022,WORMS,0,absent,individual
2004-09-29;a-k-01;b-k-01;t-k-231;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2004-09-29,kfm,visualfish -- BOT,300,cubic meter,Rhacochilus vacca,282576,WORMS,0,absent,individual
2007-07-11;a-k-01;b-k-01;t-k-224;c-k-00001;3,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2007-07-11,kfm,visualfish -- BOT,300,cubic meter,Sebastes mystinus,274823,WORMS,0,absent,individual
1985-06-26;a-k-01;b-k-01;t-k-224;c-k-00001;2,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1985-06-26,kfm,visualfish -- BOT,600,cubic meter,Sebastes mystinus,274823,WORMS,2,present,individual
2014-10-01;a-k-01;b-k-01;t-k-225;c-k-00001;4,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2014-10-01,kfm,visualfish -- BOT,300,cubic meter,Sebastes serranoides,274852,WORMS,0,absent,individual
2002-09-26;a-k-01;b-k-01;t-k-117;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2002-09-26,kfm,rdfc -- FUL,2000,square meter,Sebastes carnatus,274779,WORMS,NA,NA,individual
2003-09-09;a-k-01;b-k-01;t-k-228;c-k-00001;4,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2003-09-09,kfm,visualfish -- BOT,300,cubic meter,Semicossyphus pulcher,282753,WORMS,0,absent,individual
1996-07-23;a-k-01;b-k-01;t-k-231;c-k-00001;2,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1996-07-23,kfm,visualfish -- BOT,300,cubic meter,Rhacochilus vacca,282576,WORMS,0,absent,individual
1999-06-30;a-k-01;b-k-01;t-k-233;c-k-00001;2,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1999-06-30,kfm,visualfish -- BOT,300,cubic meter,Girella nigricans,280865,WORMS,0,absent,individual
1996-09-18;a-k-01;b-k-01;t-k-233;c-k-00001;4,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1996-09-18,kfm,visualfish -- BOT,300,cubic meter,Girella nigricans,280865,WORMS,0,absent,individual
1995-08-23;a-k-01;b-k-01;t-k-227;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1995-08-23,kfm,visualfish -- BOT,600,cubic meter,Paralabrax clathratus,282054,WORMS,0,absent,individual
1989-09-14;a-k-01;b-k-01;t-k-225;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1989-09-14,kfm,visualfish -- BOT,600,cubic meter,Sebastes serranoides,274852,WORMS,0,absent,individual
2000-08-30;a-k-01;b-k-01;t-k-166;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2000-08-30,kfm,rdfc -- FUL,2000,square meter,Caulolatilus princeps,276217,WORMS,0,absent,individual
1998-09-15;a-k-01;b-k-01;t-k-169;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1998-09-15,kfm,rdfc -- FUL,2000,square meter,Lythrypnus zebra,281472,WORMS,0,absent,individual
2003-09-09;a-k-01;b-k-01;t-k-118;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2003-09-09,kfm,rdfc -- FUL,2000,square meter,Sebastes caurinus,274780,WORMS,1,present,individual
2011-09-15;a-k-01;b-k-01;t-k-153;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2011-09-15,kfm,rdfc -- FUL,2000,square meter,Sebastes auriculatus,274773,WORMS,0,absent,individual
2000-08-30;a-k-01;b-k-01;t-k-211;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2000-08-30,kfm,rdfc -- FUL,2000,square meter,Paralichthys californicus,275809,WORMS,0,absent,individual
1996-09-18;a-k-01;b-k-01;t-k-227;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1996-09-18,kfm,visualfish -- BOT,300,cubic meter,Paralabrax clathratus,282054,WORMS,0,absent,individual
2002-07-25;a-k-01;b-k-01;t-k-155;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2002-07-25,kfm,rdfc -- FUL,2000,square meter,Nautichthys oculofasciatus,254542,WORMS,0,absent,individual
1991-10-16;a-k-01;b-k-01;t-k-224;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1991-10-16,kfm,visualfish -- BOT,600,cubic meter,Sebastes mystinus,274823,WORMS,20,present,individual
2003-09-25;a-k-01;b-k-01;t-k-107;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2003-09-25,kfm,rdfc -- FUL,2000,square meter,Rhinogobiops nicholsii,282580,WORMS,7,present,individual
2002-09-26;a-k-01;b-k-01;t-k-122;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2002-09-26,kfm,rdfc -- FUL,2000,square meter,Sebastes serranoides,274852,WORMS,0,absent,individual
1998-07-07;a-k-01;b-k-01;t-k-221;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1998-07-07,kfm,rdfc -- FUL,2000,square meter,Mola mola,127405,WORMS,0,absent,individual
1993-09-14;a-k-01;b-k-01;t-k-222;c-k-00001;3,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1993-09-14,kfm,visualfish -- BOT,600,cubic meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
2000-06-28;a-k-01;b-k-01;t-k-233;c-k-00001;4,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2000-06-28,kfm,visualfish -- BOT,300,cubic meter,Girella nigricans,280865,WORMS,0,absent,individual
1997-07-08;a-k-01;b-k-01;t-k-113;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1997-07-08,kfm,rdfc -- FUL,2000,square meter,Rhacochilus toxotes,282575,WORMS,0,absent,individual
1988-07-27;a-k-01;b-k-01;t-k-222;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1988-07-27,kfm,visualfish -- BOT,600,cubic meter,Chromis punctipinnis,273751,WORMS,0,absent,individual
1991-07-23;a-k-01;b-k-01;t-k-229;c-k-00001;2,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1991-07-23,kfm,visualfish -- BOT,600,cubic meter,Embiotoca jacksoni,240746,WORMS,6,present,individual
1997-09-24;a-k-01;b-k-01;t-k-229;c-k-00001;3,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1997-09-24,kfm,visualfish -- BOT,300,cubic meter,Embiotoca jacksoni,240746,WORMS,0,absent,individual
1997-07-08;a-k-01;b-k-01;t-k-223;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1997-07-08,kfm,visualfish -- BOT,300,cubic meter,Oxyjulis californica,240727,WORMS,0,absent,individual
1987-09-29;a-k-01;b-k-01;t-k-225;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1987-09-29,kfm,visualfish -- BOT,600,cubic meter,Sebastes serranoides,274852,WORMS,2,present,individual
2008-09-09;a-k-01;b-k-01;t-k-229;c-k-00001;3,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2008-09-09,kfm,visualfish -- BOT,300,cubic meter,Embiotoca jacksoni,240746,WORMS,0,absent,individual
1999-09-15;a-k-01;b-k-01;t-k-168;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1999-09-15,kfm,rdfc -- FUL,2000,square meter,Scorpaena guttata,274713,WORMS,0,absent,individual
2004-07-28;a-k-01;b-k-01;t-k-201;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2004-07-28,kfm,rdfc -- FUL,2000,square meter,Xystreurys liolepis,283199,WORMS,0,absent,individual
2001-07-17;a-k-01;b-k-01;t-k-191;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2001-07-17,kfm,rdfc -- FUL,2000,square meter,Sarda chiliensis chiliensis,273810,WORMS,0,absent,individual
2000-08-30;a-k-01;b-k-01;t-k-136;c-k-00001;1,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,2000-08-30,kfm,rdfc -- FUL,2000,square meter,Paralabrax clathratus,282054,WORMS,0,absent,individual
1988-09-21;a-k-01;b-k-01;t-k-225;c-k-00001;2,10.6073/pasta/ae7a51738a412dda3cc7ced221c5e90d,HumanObservation,1_NA,34.02236667,-120.3874667,1988-09-21,kfm,visualfish -- BOT,600,cubic meter,Sebastes serranoides,274852,WORMS,0,absent,individual
